ID,Judge,State,Born/Died,Active service,Chief Justice,Retirement,Appointed by,Reason for
73,Harlan F. Stone ,NY,1872-1946,1925-1946,1941-1946[n 8],NA,CoolidgeÊ(associate),Death
74,Owen Roberts,PA,1875-1955,1930-1945,NA,NA,Hoover,Resignation
75,Benjamin N. Cardozo,NY,1870-1938,1932-1938,NA,NA,Hoover,Death
76,Hugo Black,AL,1886-1971,1937-1971,1946Ê(acting),1971-1971,"Roosevelt, F.",Retirement[n 6]
77,Stanley Forman Reed,KY,1884-1980,1938-1957,NA,1957-1980,"Roosevelt, F.",Retirement[n 6]
78,Felix Frankfurter,MA,1882-1965,1939-1962,NA,1962-1965,"Roosevelt, F.",Retirement[n 6]
79,William O. Douglas,CT,1898-1980,1939-1975,NA,1975-1980,"Roosevelt, F.",Retirement[n 6]
80,Frank Murphy,MI,1890-1949,1940-1949,NA,NA,"Roosevelt, F.",Death
81,James F. Byrnes,SC,1882-1972,1941-1942,NA,NA,"Roosevelt, F.",Resignation
82,Robert H. Jackson,NY,1892-1954,1941-1954,NA,NA,"Roosevelt, F.",Death
83,Wiley Blount Rutledge,IA,1894-1949,1943-1949,NA,NA,"Roosevelt, F.",Death
84,Harold Hitz Burton,OH,1888-1964,1945-1958,NA,1958-1964,Truman,Retirement[n 6]
85,Fred M. Vinson ,KY,1890-1953,1946-1953,1946-1953,NA,Truman,Death
86,Tom C. Clark,TX,1899-1977,1949-1967,NA,1967-1977,Truman,Retirement[n 6]
87,Sherman Minton,IN,1890-1965,1949-1956,NA,1956-1965,Truman,Retirement[n 6]
88,Earl Warren* ,CA,1891-1974,1953-1969,1953-1969,1969-1974,Eisenhower,Retirement[n 6]
89,John Marshall Harlan II,NY,1899-1971,1955-1971,NA,1971-1971,Eisenhower,Retirement[n 6]
90,"William J. Brennan, Jr.*",NJ,1906-1997,1956-1990,NA,1990-1997,Eisenhower,Retirement[n 6]
91,Charles Evans Whittaker,MO,1901-1973,1957-1962,NA,1962-1965,Eisenhower,Resignation
92,Potter Stewart*,OH,1915-1985,1958-1981,NA,1981-1985,Eisenhower,Retirement
93,Byron White,CO,1917-2002,1962-1993,NA,1993-2002,Kennedy,Retirement[n 6]
94,Arthur Goldberg,IL,1908-1990,1962-1965,NA,NA,Kennedy,Resignation
95,Abe Fortas,TN,1910-1982,1965-1969,NA,NA,"Johnson, L.",Resignation
96,Thurgood Marshall,NY,1908-1993,1967-1991,NA,1991-1993,"Johnson, L.",Retirement[n 6]
97,Warren E. Burger ,MN,1907-1995,1969-1986,1969-1986,1986-1995,Nixon,Retirement[n 6]
98,Harry Blackmun,MN,1908-1999,1970-1994,NA,1994-1999,Nixon,Retirement[n 6]
